BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HOXB5	8	0.82948	0.83852	0.999905	56	1	0.064133	0.80698	0.80648	0.999995	62	0	0.064133		EZH2	8	0.79479	0.8031	0.999585	56	1	-0.018017	0.8677	0.86819	0.999995	66	0	-0.018017		SSXB2	8	0.68525	0.80594	0.997178	56	1	0.18711	0.50644	0.52655	0.999995	39	1	0.18711
PMS2	8	0.83781	0.84508	0.999905	57	1	0.10891	0.46736	0.46768	0.999995	37	0	0.10891		ABCC1	8	0.81168	0.81599	0.999585	57	1	0.11475	0.36773	0.36771	0.999995	27	1	0.11475		CD274	8	0.69421	0.81236	0.997178	57	2	-0.21754	0.16236	0.25886	0.999995	20	1	-0.21754
ZFP217	8	0.84579	0.85116	0.999905	58	1	0.4533	0.33343	0.33661	0.982822	28	1	0.4533		HSF2BP	8	0.84579	0.84666	0.999585	58	1	0.7669	0.0064401	0.017298	0.358934	4	3	0.7669		NGB	7	0.69763	0.79353	0.997178	58	1	-0.0242	0.56465	0.56538	0.999995	44	1	-0.0242
TAF2	8	0.86072	0.86318	0.999905	59	1	0.93268	0.15375	0.18735	0.982822	16	1	0.93268		DDX25	8	0.85711	0.85757	0.999585	59	0	1.2536	2.87E-06	1.50E-05	0.001244	1	5	1.2536		MAZ	8	0.72638	0.83562	0.997178	59	1	0.46316	0.44981	0.48591	0.999995	35	1	0.46316
CDR2L	8	0.8694	0.87091	0.999905	60	1	0.49611	0.45572	0.4559	0.999995	35	0	0.49611		HOXB5	8	0.85893	0.85943	0.999585	60	0	0.022098	0.73276	0.73206	0.999995	50	0	0.022098		TNFRSF9	8	0.73162	0.83924	0.997178	60	2	0.44535	0.024759	0.063353	0.657286	8	2	0.44535
PAK2	8	0.87918	0.88003	0.999905	61	1	-0.19264	0.60461	0.60497	0.999995	45	0	-0.19264		NGB	7	0.85975	0.85875	0.999585	61	0	-0.10643	0.060762	0.10258	0.687811	12	2	-0.10643		PRKAA2	8	0.77113	0.85237	0.997178	61	1	-0.056856	0.27514	0.38084	0.999995	28	1	-0.056856
TGFB1	8	0.88534	0.886	0.999905	62	0	0.097244	0.703	0.70254	0.999995	55	0	0.097244		TNFRSF9	8	0.8625	0.863	0.999585	62	0	0.53187	0.024759	0.048278	0.615553	6	1	0.53187		SSXB5	8	0.81627	0.86786	0.997178	62	1	0.64188	0.13516	0.22629	0.999995	17	2	0.64188
SSXB5	8	0.88978	0.89034	0.999905	63	0	0.81852	0.0007424	0.0029221	0.242537	1	3	0.81852		DDX17	8	0.86598	0.86632	0.999585	63	0	0.40711	0.66273	0.66285	0.999995	45	0	0.40711		GUCY2E	8	0.82517	0.87114	0.997178	63	1	0.029812	0.20418	0.30893	0.999995	23	2	0.029812
ZFP622	8	0.89406	0.89466	0.999905	64	0	0.10846	0.75988	0.75938	0.999995	58	0	0.10846		DDX60	8	0.87107	0.87153	0.999585	64	0	0.37603	0.48443	0.48536	0.999995	36	0	0.37603		LAMC2	8	0.8316	0.8738	0.997178	64	1	0.075302	0.44384	0.48182	0.999995	34	1	0.075302
SNRPN	8	0.8982	0.89883	0.999905	65	0	0.50775	0.5579	0.55881	0.999995	42	0	0.50775		ZFP217	8	0.87437	0.87493	0.999585	65	0	0.57148	0.19605	0.21693	0.883104	20	1	0.57148		ZFP217	8	0.83984	0.87742	0.997178	65	1	0.2749	0.61775	0.61931	0.999995	48	1	0.2749
TEAD4	8	0.89955	0.9003	0.999905	66	0	0.38333	0.3542	0.35524	0.982822	31	1	0.38333		FBXO41	8	0.87759	0.87822	0.999585	66	0	0.24545	0.80934	0.80892	0.999995	56	0	0.24545		STAT2	8	0.85893	0.88591	0.997178	66	1	-0.0053521	0.0049953	0.017028	0.462604	2	2	-0.0053521
SSXB9	8	0.9122	0.9129	0.999905	67	0	0.17155	0.49001	0.49108	0.999995	40	0	0.17155		LATS1	8	0.88075	0.8812	0.999585	67	0	0.62873	0.11851	0.15971	0.842576	15	1	0.62873		PTPN2	8	0.87759	0.89525	0.997178	67	1	0.124	0.94696	0.94697	0.999995	70	0	0.124
MAPK14	8	0.91798	0.91885	0.999905	68	0	0.26125	0.34042	0.34282	0.982822	29	1	0.26125		PRKAA1	8	0.88831	0.88899	0.999585	68	0	0.078917	0.81627	0.81595	0.999995	57	0	0.078917		LOXL2	8	0.88383	0.89878	0.997178	68	1	0.17093	0.31207	0.40146	0.999995	29	1	0.17093
RHBDD1	8	0.92655	0.9271	0.999905	69	0	0.28045	0.23649	0.25195	0.982822	22	1	0.28045		NOTCH2	8	0.9035	0.90452	0.999585	69	0	0.063011	0.25216	0.26312	0.94951	23	1	0.063011		FBXO41	8	0.9202	0.92308	0.997178	69	1	0.057853	0.79728	0.796	0.999995	59	0	0.057853
NGB	7	0.95533	0.95623	0.999905	70	0	-0.12594	0.95999	0.96059	0.999995	70	0	-0.12594		Control_Rosa26-intron	47	0.91686	0.98881	0.999585	70	6	-0.064688	0.96608	0.96587	0.999995	74	0	-0.064688		HSF2BP	8	0.92756	0.92881	0.997178	70	1	0.42625	0.20798	0.31331	0.999995	24	2	0.42625
DDX25	8	0.9628	0.96288	0.999905	71	0	0.65232	0.46157	0.46197	0.999995	36	0	0.65232		DDX28	8	0.91798	0.91885	0.999585	71	0	0.23262	0.01492	0.033362	0.553814	5	1	0.23262		LATS2	8	0.94619	0.94627	0.997178	71	0	0.42468	0.5724	0.57866	0.999995	45	1	0.42468
